"","ProbeID","Codeset.Name","Probe.Label","Analyte.Type","Is.Control","Control.Type","Probe.Annotation","KEGG.Pathways","Cell.Type","Official.Gene.Name","probeLabel.Type","below.threshold"
"NLRP3 - mRNA","NM_001079821.2:415","NS_HS_GLIAL_V1.0","NLRP3","mRNA",0,"","Inflammasome","hsa04621;hsa05133;hsa05164","","NLRP3","NLRP3 - mRNA","False"
"KCNK13 - mRNA","NM_022054.3:1184","NS_HS_GLIAL_V1.0","KCNK13","mRNA",0,"","Ion Transport","","","KCNK13","KCNK13 - mRNA","False"
"MAPK13 - mRNA","NM_002754.3:1050","NS_HS_GLIAL_V1.0","MAPK13","mRNA",0,"","MAPK & PI3K","hsa04010;hsa04015;hsa04068;hsa04071;hsa04261;hsa04370;hsa04380;hsa04550;hsa04611;hsa04620;hsa04621;hsa04622;hsa04660;hsa04664;hsa04668;hsa04670;hsa04722;hsa04723;hsa04728;hsa04750;hsa04912;hsa04914;hsa04917;hsa04933;hsa05014;hsa05120;hsa05131;hsa05132;hsa05133;hsa05140;hsa05142;hsa05145;hsa05152;hsa05160;hsa05164;hsa05169;hsa05205","","MAPK13","MAPK13 - mRNA","False"
"BDNF - mRNA","NM_170732.4:730","NS_HS_GLIAL_V1.0","BDNF","mRNA",0,"","Neurotrophin Signaling;Neurogenesis","hsa04010;hsa04024;hsa04722;hsa05016;hsa05030;hsa05034","","BDNF","BDNF - mRNA","True"
"GJD2 - mRNA","NM_020660.2:826","NS_HS_GLIAL_V1.0","GJD2","mRNA",0,"","Gap Junctions","hsa04540","","GJD2","GJD2 - mRNA","False"
"RET - mRNA","NM_020630.4:2911","NS_HS_GLIAL_V1.0","RET","mRNA",0,"","Neurogenesis","hsa04144;hsa05200;hsa05216;hsa05230","","RET","RET - mRNA","False"
"PNOC - mRNA","NM_001284244.1:416","NS_HS_GLIAL_V1.0","PNOC","mRNA",0,"","Cytoskeletal Dynamics","","B-cells","PNOC","PNOC - mRNA","False"
"CHRM2 - mRNA","NM_001006630.1:1170","NS_HS_GLIAL_V1.0","CHRM2","mRNA",0,"","Neuroactive Ligands and Receptors;Cholinergic Synapse;Calcium Signaling","hsa04020;hsa04024;hsa04080;hsa04151;hsa04725;hsa04810","","CHRM2","CHRM2 - mRNA","False"
"IL1B - mRNA","NM_000576.2:840","NS_HS_GLIAL_V1.0","IL1B","mRNA",0,"","Primed Microglia;NO Metabolism and Signaling;NF-kappaB Signaling;Neurogenesis;Microglia Neurodegenerative Phenotype (MGnD);Cytokines;Astrocyte DifferentiationFunction","hsa04010;hsa04060;hsa04064;hsa04210;hsa04380;hsa04620;hsa04621;hsa04623;hsa04640;hsa04668;hsa04750;hsa04932;hsa04933;hsa04940;hsa05010;hsa05020;hsa05132;hsa05133;hsa05134;hsa05140;hsa05142;hsa05143;hsa05144;hsa05146;hsa05152;hsa05162;hsa05164;hsa05168;hsa05321;hsa05323;hsa05332","","IL1B","IL1B - mRNA","True"
"IL6 - mRNA","NM_000600.3:364","NS_HS_GLIAL_V1.0","IL6","mRNA",0,"","Neurogenesis;Cytokines;Astrocyte DifferentiationFunction","hsa04060;hsa04066;hsa04068;hsa04151;hsa04620;hsa04621;hsa04623;hsa04630;hsa04640;hsa04668;hsa04672;hsa04931;hsa04932;hsa04933;hsa05020;hsa05132;hsa05133;hsa05134;hsa05142;hsa05143;hsa05144;hsa05146;hsa05152;hsa05161;hsa05162;hsa05164;hsa05166;hsa05168;hsa05200;hsa05202;hsa05321;hsa05323;hsa05332;hsa05410","","IL6","IL6 - mRNA","True"
"PTH2R - mRNA","NM_001371906.1:1170","NS_HS_GLIAL_V1.0","PTH2R","mRNA",0,"","Neuroactive Ligands and Receptors","hsa04080","","PTH2R","PTH2R - mRNA","False"
"RXFP1 - mRNA","NM_021634.4:719","NS_HS_GLIAL_V1.0","RXFP1","mRNA",0,"","Neuroactive Ligands and Receptors","hsa04080","","RXFP1","RXFP1 - mRNA","False"
"NOS2 - mRNA","NM_000625.4:605","NS_HS_GLIAL_V1.0","NOS2","mRNA",0,"","Oxidative & Nitrosative Stress;NO Metabolism and Signaling;Microglia Neurodegenerative Phenotype (MGnD);Hypoxia","hsa00220;hsa04020;hsa04066;hsa04146;hsa05132;hsa05133;hsa05140;hsa05142;hsa05145;hsa05146;hsa05152;hsa05200;hsa05222","","NOS2","NOS2 - mRNA","False"
"CCNA1 - mRNA","NM_003914.3:1605","NS_HS_GLIAL_V1.0","CCNA1","mRNA",0,"","Cell Cycle","hsa04110;hsa04152;hsa04914;hsa05161;hsa05169;hsa05200;hsa05202;hsa05203;hsa05221","","CCNA1","CCNA1 - mRNA","False"
"TNFRSF11A - mRNA","NM_003839.3:226","NS_HS_GLIAL_V1.0","TNFRSF11A","mRNA",0,"","NF-kappaB Signaling;Cytokines","hsa04060;hsa04064;hsa04380;hsa04917;hsa05323","","TNFRSF11A","TNFRSF11A - mRNA","False"
"PTGS2 - mRNA","NM_000963.1:495","NS_HS_GLIAL_V1.0","PTGS2","mRNA",0,"","Serotonergic Synapse;NO Metabolism and Signaling;NF-kappaB Signaling;Lipid Metabolism;Cannabinoid Signaling;A2 Astrocyte","hsa00590;hsa04064;hsa04370;hsa04668;hsa04723;hsa04726;hsa04913;hsa04921;hsa04923;hsa05140;hsa05200;hsa05206;hsa05222","","PTGS2","PTGS2 - mRNA","False"
"TRIM46 - mRNA","NM_025058.4:848","NS_HS_GLIAL_V1.0","TRIM46","mRNA",0,"","Neurogenesis;Interferon Signaling;Cytoskeletal Dynamics","","","TRIM46","TRIM46 - mRNA","False"
"TRIM45 - mRNA","NM_025188.4:1500","NS_HS_GLIAL_V1.0","TRIM45","mRNA",0,"","Interferon Signaling","","","TRIM45","TRIM45 - mRNA","False"
"E2F3 - mRNA","NM_001243076.2:290","NS_HS_GLIAL_V1.0","E2F3","mRNA",0,"","Cell Cycle","hsa04110;hsa05161;hsa05166;hsa05200;hsa05206;hsa05212;hsa05214;hsa05215;hsa05218;hsa05219;hsa05220;hsa05222;hsa05223","","E2F3","E2F3 - mRNA","False"
"GRIN3A - mRNA","NM_133445.2:3167","NS_HS_GLIAL_V1.0","GRIN3A","mRNA",0,"","Neuroactive Ligands and Receptors;Glutamatergic Synapse","hsa04024;hsa04080;hsa04724;hsa05030;hsa05031;hsa05033;hsa05034","","GRIN3A","GRIN3A - mRNA","False"
"RASGRP1 - mRNA","NM_005739.3:365","NS_HS_GLIAL_V1.0","RASGRP1","mRNA",0,"","T-cell signaling;MAPK & PI3K","hsa04010;hsa04014;hsa04611;hsa04660;hsa05200","","RASGRP1","RASGRP1 - mRNA","False"
"GRM2 - mRNA","NM_001349116.2:395","NS_HS_GLIAL_V1.0","GRM2","mRNA",0,"","Neuroactive Ligands and Receptors;Glutamatergic Synapse","hsa04072;hsa04080;hsa04724;hsa05030","Neuron","GRM2","GRM2 - mRNA","False"
"DRD1 - mRNA","NM_000794.3:1970","NS_HS_GLIAL_V1.0","DRD1","mRNA",0,"","Neuroactive Ligands and Receptors;Dopaminergic Synapse;Calcium Signaling;Astrocyte DifferentiationFunction","hsa04020;hsa04024;hsa04080;hsa04540;hsa04728;hsa05012;hsa05030;hsa05031;hsa05032;hsa05034","","DRD1","DRD1 - mRNA","False"
"CACNA1E - mRNA","NM_000721.3:4830","NS_HS_GLIAL_V1.0","CACNA1E","mRNA",0,"","MAPK & PI3K;Ion Transport;Calcium Signaling","hsa04010;hsa04020;hsa04930","","CACNA1E","CACNA1E - mRNA","False"
"CDK7 - mRNA","NM_001799.2:785","NS_HS_GLIAL_V1.0","CDK7","mRNA",0,"","Cell Cycle","hsa04110","","CDK7","CDK7 - mRNA","False"
"GRM7 - mRNA","NM_000844.2:2575","NS_HS_GLIAL_V1.0","GRM7","mRNA",0,"","Neuroactive Ligands and Receptors;Glutamatergic Synapse","hsa04072;hsa04080;hsa04724","","GRM7","GRM7 - mRNA","False"
"MAD2L1 - mRNA","NM_002358.3:182","NS_HS_GLIAL_V1.0","MAD2L1","mRNA",0,"","Cell Cycle","hsa04110;hsa04114;hsa04914;hsa05166","","MAD2L1","MAD2L1 - mRNA","False"
"SLC17A6 - mRNA","NM_020346.2:1555","NS_HS_GLIAL_V1.0","SLC17A6","mRNA",0,"","Glutamatergic Synapse;Cannabinoid Signaling","hsa04721;hsa04723;hsa04724;hsa05033","Neuron","SLC17A6","SLC17A6 - mRNA","False"
"LPL - mRNA","NM_000237.2:736","NS_HS_GLIAL_V1.0","LPL","mRNA",0,"","Stage 2 DAM;Microglia Neurodegenerative Phenotype (MGnD)","hsa03320;hsa05010","","LPL","LPL - mRNA","False"
"TBR1 - mRNA","NM_006593.4:345","NS_HS_GLIAL_V1.0","TBR1","mRNA",0,"","Neurogenesis","","Neuron","TBR1","TBR1 - mRNA","False"
"NRG1 - mRNA","NM_004495.2:995","NS_HS_GLIAL_V1.0","NRG1","mRNA",0,"","Oligodendrocyte DifferentiationMaturation;Neurogenesis;Myelogenesis","hsa04012","","NRG1","NRG1 - mRNA","False"
"GABRD - mRNA","NM_000815.4:800","NS_HS_GLIAL_V1.0","GABRD","mRNA",0,"","Neuroactive Ligands and Receptors;GABAergic Synapse;Cannabinoid Signaling","hsa04080;hsa04723;hsa04727;hsa05032;hsa05033","","GABRD","GABRD - mRNA","False"
"CUX2 - mRNA","NM_015267.3:303","NS_HS_GLIAL_V1.0","CUX2","mRNA",0,"","Neuronal Markers;Neurogenesis","","","CUX2","CUX2 - mRNA","False"
"GLRA3 - mRNA","NM_006529.3:492","NS_HS_GLIAL_V1.0","GLRA3","mRNA",0,"","Neuroactive Ligands and Receptors","hsa04080","","GLRA3","GLRA3 - mRNA","False"
"XK - mRNA","NM_021083.2:545","NS_HS_GLIAL_V1.0","XK","mRNA",0,"","Neurogenesis","","","XK","XK - mRNA","False"
"CCNB1 - mRNA","NM_031966.3:1102","NS_HS_GLIAL_V1.0","CCNB1","mRNA",0,"","Cell Cycle","hsa04068;hsa04110;hsa04114;hsa04115;hsa04914","","CCNB1","CCNB1 - mRNA","False"
"DLX1 - mRNA","NM_001038493.2:240","NS_HS_GLIAL_V1.0","DLX1","mRNA",0,"","TGF-Beta Signaling;Oligodendrocyte DifferentiationMaturation;Neurogenesis","","Neuron","DLX1","DLX1 - mRNA","False"
"TICAM1 - mRNA","NM_014261.1:518","NS_HS_GLIAL_V1.0","TICAM1","mRNA",0,"","NO Metabolism and Signaling;NF-kappaB Signaling;Apoptosis","hsa04064;hsa04620;hsa05133;hsa05142;hsa05160;hsa05161;hsa05164;hsa05168","","TICAM1","TICAM1 - mRNA","False"
"RNASEL - mRNA","NM_021133.3:1094","NS_HS_GLIAL_V1.0","RNASEL","mRNA",0,"","Interferon Signaling","hsa05160;hsa05164;hsa05168","","RNASEL","RNASEL - mRNA","False"
"TRIM17 - mRNA","NM_001024940.2:755","NS_HS_GLIAL_V1.0","TRIM17","mRNA",0,"","Interferon Signaling","","","TRIM17","TRIM17 - mRNA","False"
"ABCC8 - mRNA","NM_000352.4:1760","NS_HS_GLIAL_V1.0","ABCC8","mRNA",0,"","Ion Transport","hsa02010;hsa04911;hsa04930","","ABCC8","ABCC8 - mRNA","False"
"ADRB1 - mRNA","NM_000684.1:795","NS_HS_GLIAL_V1.0","ADRB1","mRNA",0,"","Neuroactive Ligands and Receptors;Calcium Signaling","hsa04020;hsa04022;hsa04024;hsa04080;hsa04144;hsa04261;hsa04540;hsa04923;hsa04924;hsa04970;hsa05414","","ADRB1","ADRB1 - mRNA","False"
"IL34 - mRNA","NM_152456.1:860","NS_HS_GLIAL_V1.0","IL34","mRNA",0,"","Cytokines","","","IL34","IL34 - mRNA","False"
"ISLR2 - mRNA","NM_001130136.1:820","NS_HS_GLIAL_V1.0","ISLR2","mRNA",0,"","Neurogenesis","","Neuron","ISLR2","ISLR2 - mRNA","False"
"AMIGO2 - mRNA","NM_001143668.1:1525","NS_HS_GLIAL_V1.0","AMIGO2","mRNA",0,"","A1 Astrocyte","","","AMIGO2","AMIGO2 - mRNA","False"
"FOS - mRNA","NM_005252.3:554","NS_HS_GLIAL_V1.0","FOS","mRNA",0,"","T-cell signaling;MAPK & PI3K","hsa04010;hsa04024;hsa04380;hsa04620;hsa04660;hsa04662;hsa04668;hsa04713;hsa04725;hsa04728;hsa04915;hsa04917;hsa04921;hsa05031;hsa05132;hsa05133;hsa05140;hsa05142;hsa05161;hsa05166;hsa05168;hsa05200;hsa05210;hsa05231;hsa05323","","FOS","FOS - mRNA","False"
"CXCL8 - mRNA","NM_000584.3:221","NS_HS_GLIAL_V1.0","CXCL8","mRNA",0,"","NF-kappaB Signaling;Chemokines","hsa04060;hsa04062;hsa04064;hsa04072;hsa04620;hsa04621;hsa04622;hsa04932;hsa04933;hsa05120;hsa05131;hsa05132;hsa05133;hsa05134;hsa05142;hsa05144;hsa05146;hsa05160;hsa05161;hsa05164;hsa05200;hsa05202;hsa05219;hsa05323","","CXCL8","CXCL8 - mRNA","False"
"MS4A4A - mRNA","NM_001243266.1:296","NS_HS_GLIAL_V1.0","MS4A4A","mRNA",0,"","","","Macrophages_Microglia","MS4A4A","MS4A4A - mRNA","False"
"IL18 - mRNA","NM_001562.3:364","NS_HS_GLIAL_V1.0","IL18","mRNA",0,"","Cytokines;Astrocyte Markers","hsa04060;hsa04621;hsa04623;hsa05132;hsa05134;hsa05143;hsa05144;hsa05152;hsa05164;hsa05321;hsa05323","","IL18","IL18 - mRNA","False"
"C3AR1 - mRNA","NM_004054.2:415","NS_HS_GLIAL_V1.0","C3AR1","mRNA",0,"","Primed Microglia;Neuroactive Ligands and Receptors;Complement System","hsa04080;hsa04610;hsa05150","","C3AR1","C3AR1 - mRNA","False"
"C1QA - mRNA","NM_015991.2:718","NS_HS_GLIAL_V1.0","C1QA","mRNA",0,"","Microglial Markers;Homeostatic Microglia;Complement System;Astrocyte DifferentiationFunction","hsa04610;hsa05020;hsa05133;hsa05142;hsa05150;hsa05322","","C1QA","C1QA - mRNA","False"
"CFI - mRNA","NM_000204.3:764","NS_HS_GLIAL_V1.0","CFI","mRNA",0,"","Complement System","hsa04610;hsa05150","","CFI","CFI - mRNA","False"
"CSF3R - mRNA","NM_000760.3:2066","NS_HS_GLIAL_V1.0","CSF3R","mRNA",0,"","Cytokines","hsa04060;hsa04151;hsa04630;hsa04640;hsa05200","Neutrophils","CSF3R","CSF3R - mRNA","False"
"SLC2A5 - mRNA","NM_003039.2:711","NS_HS_GLIAL_V1.0","SLC2A5","mRNA",0,"","Primed Microglia;Microglial Markers;Glucose Metabolism","hsa04973","","SLC2A5","SLC2A5 - mRNA","False"
"TLR2 - mRNA","NM_003264.3:2402","NS_HS_GLIAL_V1.0","TLR2","mRNA",0,"","Primed Microglia;Oligodendrocyte DifferentiationMaturation;NO Metabolism and Signaling","hsa04145;hsa04151;hsa04620;hsa05134;hsa05140;hsa05142;hsa05144;hsa05145;hsa05146;hsa05152;hsa05161;hsa05162;hsa05168;hsa05205;hsa05321;hsa05323","Macrophages_Microglia","TLR2","TLR2 - mRNA","False"
"LYZ - mRNA","NM_000239.2:305","NS_HS_GLIAL_V1.0","LYZ","mRNA",0,"","Stage 1 DAM;Microglia Neurodegenerative Phenotype (MGnD)","hsa04970","","LYZ","LYZ - mRNA","False"
"ADORA3 - mRNA","NM_000677.3:1524","NS_HS_GLIAL_V1.0","ADORA3","mRNA",0,"","Purinergic Signaling;Neuroactive Ligands and Receptors","hsa04022;hsa04071;hsa04080","","ADORA3","ADORA3 - mRNA","False"
"C1QB - mRNA","NM_000491.3:819","NS_HS_GLIAL_V1.0","C1QB","mRNA",0,"","Homeostatic Microglia;Complement System","hsa04610;hsa05020;hsa05133;hsa05142;hsa05150;hsa05322","","C1QB","C1QB - mRNA","False"
"MSR1 - mRNA","NM_002445.3:326","NS_HS_GLIAL_V1.0","MSR1","mRNA",0,"","Microglia Neurodegenerative Phenotype (MGnD)","hsa04145","","MSR1","MSR1 - mRNA","False"
"ENTPD2 - mRNA","NM_203468.1:206","NS_HS_GLIAL_V1.0","ENTPD2","mRNA",0,"","Purinergic Signaling","hsa00230;hsa04742","Astrocytes","ENTPD2","ENTPD2 - mRNA","False"
"GPR17 - mRNA","NM_001161415.1:774","NS_HS_GLIAL_V1.0","GPR17","mRNA",0,"","Purinergic Signaling;Oligodendrocyte DifferentiationMaturation","","","GPR17","GPR17 - mRNA","False"
"GDPD2 - mRNA","NM_001171191.1:1666","NS_HS_GLIAL_V1.0","GDPD2","mRNA",0,"","","","Astrocytes","GDPD2","GDPD2 - mRNA","False"
"NOSTRIN - mRNA","NM_001039724.3:1125","NS_HS_GLIAL_V1.0","NOSTRIN","mRNA",0,"","","","Endothelial Cells","NOSTRIN","NOSTRIN - mRNA","False"
"GAL3ST1 - mRNA","NM_004861.1:1378","NS_HS_GLIAL_V1.0","GAL3ST1","mRNA",0,"","Myelogenesis","hsa00600","Oligodendrocytes","GAL3ST1","GAL3ST1 - mRNA","False"
"GJB1 - mRNA","NM_000166.5:165","NS_HS_GLIAL_V1.0","GJB1","mRNA",0,"","Gap Junctions","","Oligodendrocytes","GJB1","GJB1 - mRNA","False"
"CLEC7A - mRNA","NM_197954.3:78","NS_HS_GLIAL_V1.0","CLEC7A","mRNA",0,"","Stage 2 DAM;Primed Microglia;Microglia Neurodegenerative Phenotype (MGnD)","hsa04145;hsa05152","","CLEC7A","CLEC7A - mRNA","False"
"SLCO2B1 - mRNA","NM_001145211.2:1974","NS_HS_GLIAL_V1.0","SLCO2B1","mRNA",0,"","Primed Microglia;Microglial Markers","","","SLCO2B1","SLCO2B1 - mRNA","False"
"P2RY13 - mRNA","NM_176894.2:211","NS_HS_GLIAL_V1.0","P2RY13","mRNA",0,"","Purinergic Signaling;Primed Microglia;Neuroactive Ligands and Receptors;Microglial Markers","hsa04080","","P2RY13","P2RY13 - mRNA","False"
"IL10RA - mRNA","NM_001558.2:150","NS_HS_GLIAL_V1.0","IL10RA","mRNA",0,"","Cytokines","hsa04060;hsa04630;hsa05145;hsa05152;hsa05169","","IL10RA","IL10RA - mRNA","False"
"LILRB4 - mRNA","NM_001278429.3:543","NS_HS_GLIAL_V1.0","LILRB4","mRNA",0,"","Stage 2 DAM;Microglia Neurodegenerative Phenotype (MGnD)","hsa04380","","LILRB4","LILRB4 - mRNA","False"
"STAB1 - mRNA","NM_015136.2:95","NS_HS_GLIAL_V1.0","STAB1","mRNA",0,"","Phagocytosis","","","STAB1","STAB1 - mRNA","False"
"B3GNT5 - mRNA","NM_032047.4:688","NS_HS_GLIAL_V1.0","B3GNT5","mRNA",0,"","A2 Astrocyte","","","B3GNT5","B3GNT5 - mRNA","False"
"CD68 - mRNA","NM_001251.2:1140","NS_HS_GLIAL_V1.0","CD68","mRNA",0,"","Primed Microglia;Microglial Markers","hsa04142","Macrophages_Microglia","CD68","CD68 - mRNA","False"
"IRF8 - mRNA","NM_002163.2:253","NS_HS_GLIAL_V1.0","IRF8","mRNA",0,"","Interferon Signaling","hsa05133","Macrophages_Microglia","IRF8","IRF8 - mRNA","False"
"FBLN5 - mRNA","NM_006329.3:1728","NS_HS_GLIAL_V1.0","FBLN5","mRNA",0,"","A1 Astrocyte","","","FBLN5","FBLN5 - mRNA","False"
"CD40 - mRNA","NM_001250.4:196","NS_HS_GLIAL_V1.0","CD40","mRNA",0,"","NF-kappaB Signaling;Microglial Markers","hsa04060;hsa04064;hsa04514;hsa04620;hsa04672;hsa05144;hsa05145;hsa05166;hsa05169;hsa05202;hsa05310;hsa05320;hsa05322;hsa05330;hsa05340;hsa05416","","CD40","CD40 - mRNA","False"
"MYCT1 - mRNA","NM_025107.2:159","NS_HS_GLIAL_V1.0","MYCT1","mRNA",0,"","","","Endothelial Cells","MYCT1","MYCT1 - mRNA","False"
"EMCN - mRNA","NM_016242.3:160","NS_HS_GLIAL_V1.0","EMCN","mRNA",0,"","","","Endothelial Cells","EMCN","EMCN - mRNA","False"
"NLRP1 - mRNA","NM_033004.2:2135","NS_HS_GLIAL_V1.0","NLRP1","mRNA",0,"","Inflammasome","hsa04621","","NLRP1","NLRP1 - mRNA","False"
"CNTF - mRNA","NM_000614.3:45","NS_HS_GLIAL_V1.0","CNTF","mRNA",0,"","Neurogenesis;Cytoskeletal Dynamics;Cytokines;Astrocyte DifferentiationFunction","hsa04060;hsa04630","","CNTF","CNTF - mRNA","False"
"S100A12 - mRNA","NM_005621.1:260","NS_HS_GLIAL_V1.0","S100A12","mRNA",0,"","Cytokines","","Neutrophils","S100A12","S100A12 - mRNA","False"
"SLPI - mRNA","NM_003064.2:330","NS_HS_GLIAL_V1.0","SLPI","mRNA",0,"","NF-kappaB Signaling","","","SLPI","SLPI - mRNA","False"
"GZMH - mRNA","NM_033423.3:705","NS_HS_GLIAL_V1.0","GZMH","mRNA",0,"","","","Cytotoxic cells","GZMH","GZMH - mRNA","True"
"KIR3DL2 - mRNA","NM_006737.2:884","NS_HS_GLIAL_V1.0","KIR3DL2","mRNA",0,"","","hsa04612;hsa04650;hsa05332","NK CD56dim cells","KIR3DL2","KIR3DL2 - mRNA","True"
"CD8B - mRNA","NM_172099.2:439","NS_HS_GLIAL_V1.0","CD8B","mRNA",0,"","T-cell signaling","hsa04514;hsa04612;hsa04640;hsa04660;hsa05340","CD8 T cells","CD8B","CD8B - mRNA","True"
"ABCC3 - mRNA","NM_001144070.1:460","NS_HS_GLIAL_V1.0","ABCC3","mRNA",0,"","Oxidative & Nitrosative Stress","hsa02010;hsa04976","","ABCC3","ABCC3 - mRNA","True"
