ProbeID,Codeset.Name,Probe.Label,Analyte.Type,Is.Control,Control.Type,Related.Probes,Probe.Annotation,KEGG.Pathways,Cell.Type,Official.Gene.Name,Fusion.Probe.Type,Fusion.Base,SNV.Probe.Type,SNV.LocID,SNV.annot
NM_205835.3:1888,NS_HS_GLIAL_V1.0,LSR,mRNA,FALSE,,,Blood Brain Barrier,,Endothelial Cells,LSR,,,,,
NM_001130861.1:1422,NS_HS_GLIAL_V1.0,CLDN5,mRNA,FALSE,,,Myelogenesis;Cell Migration;Blood Brain Barrier,hsa04514;hsa04530;hsa04670;hsa05160,Endothelial Cells,CLDN5,,,,,
NM_005442.2:1670,NS_HS_GLIAL_V1.0,EOMES,mRNA,FALSE,,,Neurogenesis,,Exhausted CD8,EOMES,,,,,
NM_002286.5:1735,NS_HS_GLIAL_V1.0,LAG3,mRNA,FALSE,,,Microglial Markers;Antigen Processing and Presentation,,Exhausted CD8,LAG3,,,,,
NM_000958.2:976,NS_HS_GLIAL_V1.0,PTGER4,mRNA,FALSE,,,Neuroactive Ligands and Receptors,hsa04080;hsa04750;hsa04924;hsa05200,Exhausted CD8,PTGER4,,,,,
NM_001166663.1:1037,NS_HS_GLIAL_V1.0,CD244,mRNA,FALSE,,,,hsa04650,Exhausted CD8,CD244,,,,,
NM_001251.2:1140,NS_HS_GLIAL_V1.0,CD68,mRNA,FALSE,,,Primed Microglia;Microglial Markers,hsa04142,Macrophages_Microglia,CD68,,,,,
NM_002163.2:253,NS_HS_GLIAL_V1.0,IRF8,mRNA,FALSE,,,Interferon Signaling,hsa05133,Macrophages_Microglia,IRF8,,,,,
NM_000265.4:374,NS_HS_GLIAL_V1.0,NCF1,mRNA,FALSE,,,Phagocytosis;Oxidative & Nitrosative Stress;Angiogenesis,hsa04062;hsa04145;hsa04380;hsa04666;hsa04670;hsa05140,Macrophages_Microglia,NCF1,,,,,
NM_004244.4:1630,NS_HS_GLIAL_V1.0,CD163,mRNA,FALSE,,,,,Macrophages_Microglia,CD163,,,,,
NM_000594.2:383,NS_HS_GLIAL_V1.0,TNF,mRNA,FALSE,,,T-cell signaling;NO Metabolism and Signaling;NF-kappaB Signaling;Cytokines;Astrocyte Differentiation/Function;Apoptosis;A1 Astrocyte,hsa04010;hsa04060;hsa04064;hsa04071;hsa04150;hsa04210;hsa04350;hsa04380;hsa04612;hsa04620;hsa04621;hsa04622;hsa04640;hsa04650;hsa04660;hsa04664;hsa04668;hsa04920;hsa04930;hsa04931;hsa04932;hsa04933;hsa04940;hsa05010;hsa05014;hsa05133;hsa05134;hsa05140;hsa05142;hsa05143;hsa05144;hsa05145;hsa05146;hsa05152;hsa05160;hsa05161;hsa05164;hsa05166;hsa05168;hsa05205;hsa05310;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05410;hsa05414,Macrophages_Microglia,TNF,,,,,
NM_001243266.1:296,NS_HS_GLIAL_V1.0,MS4A4A,mRNA,FALSE,,,,,Macrophages_Microglia,MS4A4A,,,,,
NM_003264.3:2402,NS_HS_GLIAL_V1.0,TLR2,mRNA,FALSE,,,Primed Microglia;Oligodendrocyte Differentiation/Maturation;NO Metabolism and Signaling,hsa04145;hsa04151;hsa04620;hsa05134;hsa05140;hsa05142;hsa05144;hsa05145;hsa05146;hsa05152;hsa05161;hsa05162;hsa05168;hsa05205;hsa05321;hsa05323,Macrophages_Microglia,TLR2,,,,,
NM_020370.2:1183,NS_HS_GLIAL_V1.0,GPR84,mRNA,FALSE,,,Primed Microglia,,Macrophages_Microglia,GPR84,,,,,
NM_145256.2:796,NS_HS_GLIAL_V1.0,LRRC25,mRNA,FALSE,,,,,Macrophages_Microglia,LRRC25,,,,,
NM_003874.3:680,NS_HS_GLIAL_V1.0,CD84,mRNA,FALSE,,,Primed Microglia,,Macrophages_Microglia,CD84,,,,,
NM_003294.3:579,NS_HS_GLIAL_V1.0,TPSAB1/B2,mRNA,FALSE,,,,,Mast cells,TPSAB1,,,,,
NM_001870.2:220,NS_HS_GLIAL_V1.0,CPA3,mRNA,FALSE,,,,hsa04972;hsa04974,Mast cells,CPA3,,,,,
NM_000139.3:126,NS_HS_GLIAL_V1.0,MS4A2,mRNA,FALSE,,,,hsa04071;hsa04072;hsa04664;hsa05310,Mast cells,MS4A2,,,,,
NM_002112.3:1170,NS_HS_GLIAL_V1.0,HDC,mRNA,FALSE,,,,,Mast cells,HDC,,,,,
NM_004405.3:590,NS_HS_GLIAL_V1.0,DLX2,mRNA,FALSE,,,TGF-Beta Signaling;Oligodendrocyte Differentiation/Maturation;Neurogenesis,,Neuron,DLX2,,,,,
NM_020346.2:1555,NS_HS_GLIAL_V1.0,SLC17A6,mRNA,FALSE,,,Glutamatergic Synapse;Cannabinoid Signaling,hsa04721;hsa04723;hsa04724;hsa05033,Neuron,SLC17A6,,,,,
NM_001130136.1:820,NS_HS_GLIAL_V1.0,ISLR2,mRNA,FALSE,,,Neurogenesis,,Neuron,ISLR2,,,,,
NM_001038493.2:240,NS_HS_GLIAL_V1.0,DLX1,mRNA,FALSE,,,TGF-Beta Signaling;Oligodendrocyte Differentiation/Maturation;Neurogenesis,,Neuron,DLX1,,,,,
NM_001349116.2:395,NS_HS_GLIAL_V1.0,GRM2,mRNA,FALSE,,,Neuroactive Ligands and Receptors;Glutamatergic Synapse,hsa04072;hsa04080;hsa04724;hsa05030,Neuron,GRM2,,,,,
NM_006593.4:345,NS_HS_GLIAL_V1.0,TBR1,mRNA,FALSE,,,Neurogenesis,,Neuron,TBR1,,,,,
NM_002029.3:350,NS_HS_GLIAL_V1.0,FPR1,mRNA,FALSE,,,Neuroactive Ligands and Receptors;Cytokines,hsa04015;hsa04080;hsa05150,Neutrophils,FPR1,,,,,
NM_005621.1:260,NS_HS_GLIAL_V1.0,S100A12,mRNA,FALSE,,,Cytokines,,Neutrophils,S100A12,,,,,
NM_000570.4:696,NS_HS_GLIAL_V1.0,FCGR3A/B,mRNA,FALSE,,,Phagocytosis,hsa04145;hsa04380;hsa04650;hsa05140;hsa05150;hsa05152;hsa05322,Neutrophils,FCGR3B,,,,,
NM_001815.3:527,NS_HS_GLIAL_V1.0,CEACAM3,mRNA,FALSE,,,,,Neutrophils,CEACAM3,,,,,
NM_000760.3:2066,NS_HS_GLIAL_V1.0,CSF3R,mRNA,FALSE,,,Cytokines,hsa04060;hsa04151;hsa04630;hsa04640;hsa05200,Neutrophils,CSF3R,,,,,
NM_133278.2:750,NS_HS_GLIAL_V1.0,FCAR,mRNA,FALSE,,,,hsa04145;hsa05150,Neutrophils,FCAR,,,,,
NM_003830.3:1405,NS_HS_GLIAL_V1.0,SIGLEC5,mRNA,FALSE,,,,,Neutrophils,SIGLEC5,,,,,
NM_006737.2:884,NS_HS_GLIAL_V1.0,KIR3DL2,mRNA,FALSE,,,,hsa04612;hsa04650;hsa05332,NK CD56dim cells,KIR3DL2,,,,,
NM_181079.4:1250,NS_HS_GLIAL_V1.0,IL21R,mRNA,FALSE,,,Cytokines,hsa04060;hsa04630;hsa05321,NK CD56dim cells,IL21R,,,,,
NM_001322168.1:466,NS_HS_GLIAL_V1.0,KIR3DL1,mRNA,FALSE,,,,hsa04612;hsa04650;hsa05332,NK CD56dim cells,KIR3DL1,,,,,
NM_015868.2:145,NS_HS_GLIAL_V1.0,KIR2DL3,mRNA,FALSE,,,,hsa04612;hsa04650;hsa05332,NK CD56dim cells,KIR2DL3,,,,,
NM_002995.2:266,NS_HS_GLIAL_V1.0,XCL1/2,mRNA,FALSE,,,Cytokines;Chemokines,hsa04060;hsa04062,NK cells,XCL1,,,,,
NM_004829.5:602,NS_HS_GLIAL_V1.0,NCR1,mRNA,FALSE,,,,hsa04650,NK cells,NCR1,,,,,
NM_024306.2:360,NS_HS_GLIAL_V1.0,FA2H,mRNA,FALSE,,,Oligodendrocyte Differentiation/Maturation;Myelogenesis,,Oligodendrocytes,FA2H,,,,,
NM_006257.2:1325,NS_HS_GLIAL_V1.0,PRKCQ,mRNA,FALSE,,,T-cell signaling;NF-kappaB Signaling,hsa04064;hsa04270;hsa04530;hsa04660;hsa04750;hsa04920;hsa04931;hsa05162,Oligodendrocytes,PRKCQ,,,,,
NM_000177.4:1075,NS_HS_GLIAL_V1.0,GSN,mRNA,FALSE,,,Phagocytosis;Oligodendrocyte Differentiation/Maturation;Cytoskeletal Dynamics,hsa04666;hsa04810;hsa05203,Oligodendrocytes,GSN,,,,,
NM_000166.5:165,NS_HS_GLIAL_V1.0,GJB1,mRNA,FALSE,,,Gap Junctions,,Oligodendrocytes,GJB1,,,,,
NM_001128174.1:1135,NS_HS_GLIAL_V1.0,UGT8,mRNA,FALSE,,,Oligodendrocyte Markers;Myelogenesis,hsa00600,Oligodendrocytes,UGT8,,,,,
NM_001163257.1:3663,NS_HS_GLIAL_V1.0,PLXNB3,mRNA,FALSE,,,Neurogenesis,hsa04360,Oligodendrocytes,PLXNB3,,,,,
NM_015993.2:395,NS_HS_GLIAL_V1.0,PLLP,mRNA,FALSE,,,Myelogenesis,,Oligodendrocytes,PLLP,,,,,
NM_004861.1:1378,NS_HS_GLIAL_V1.0,GAL3ST1,mRNA,FALSE,,,Myelogenesis,hsa00600,Oligodendrocytes,GAL3ST1,,,,,
NM_001005915.1:261,NS_HS_GLIAL_V1.0,ERBB3,mRNA,FALSE,,,Neurogenesis;MAPK & PI3K,hsa04012;hsa04020;hsa04144;hsa05205;hsa05206,Oligodendrocytes,ERBB3,,,,,
NM_003657.3:673,NS_HS_GLIAL_V1.0,BCAS1,mRNA,FALSE,,,Myelogenesis,,Oligodendrocytes,BCAS1,,,,,
NM_006941.3:1057,NS_HS_GLIAL_V1.0,SOX10,mRNA,FALSE,,,Oligodendrocyte Markers;Oligodendrocyte Differentiation/Maturation;Neurogenesis;Myelogenesis,,Oligodendrocytes,SOX10,,,,,
NM_013279.4:1130,NS_HS_GLIAL_V1.0,MYRF,mRNA,FALSE,,,Oligodendrocyte Differentiation/Maturation;Myelogenesis,,Oligodendrocytes,MYRF,,,,,
NM_016533.6:404,NS_HS_GLIAL_V1.0,NINJ2,mRNA,FALSE,,,,,Oligodendrocytes,NINJ2,,,,,
NM_021200.3:575,NS_HS_GLIAL_V1.0,PLEKHB1,mRNA,FALSE,,,,,Oligodendrocytes,PLEKHB1,,,,,
NM_001146685.1:222,NS_HS_GLIAL_V1.0,TMEM88B,mRNA,FALSE,,,,,Oligodendrocytes,TMEM88B,,,,,
NM_000733.2:75,NS_HS_GLIAL_V1.0,CD3E,mRNA,FALSE,,,T-cell signaling,hsa04640;hsa04660;hsa05142;hsa05162;hsa05166;hsa05340,T-cells,CD3E,,,,,
NM_000732.4:110,NS_HS_GLIAL_V1.0,CD3D,mRNA,FALSE,,,T-cell signaling,hsa04640;hsa04660;hsa05142;hsa05162;hsa05166;hsa05340,T-cells,CD3D,,,,,
NM_002351.4:495,NS_HS_GLIAL_V1.0,SH2D1A,mRNA,FALSE,,,,hsa04650;hsa05162,T-cells,SH2D1A,,,,,
NM_000073.2:404,NS_HS_GLIAL_V1.0,CD3G,mRNA,FALSE,,,T-cell signaling,hsa04640;hsa04660;hsa05142;hsa05162;hsa05166,T-cells,CD3G,,,,,
NM_016388.3:578,NS_HS_GLIAL_V1.0,TRAT1,mRNA,FALSE,,,T-cell signaling,,T-cells,TRAT1,,,,,
NM_001254751.1:1328,NS_HS_GLIAL_V1.0,CD6,mRNA,FALSE,,,Cell Migration,hsa04514,T-cells,CD6,,,,,
NM_013351.1:890,NS_HS_GLIAL_V1.0,TBX21,mRNA,FALSE,,,,hsa05321,Th1 cells,TBX21,,,,,
NM_014009.3:1230,NS_HS_GLIAL_V1.0,FOXP3,mRNA,FALSE,,,,hsa05321,Treg,FOXP3,,,,,
ERCC_00154.1:115,ALL,NEG_H(0),mRNA,TRUE,Negative,,,,,,,,,,
ERCC_00041.1:440,ALL,NEG_B(0),mRNA,TRUE,Negative,,,,,,,,,,
ERCC_00098.1:785,ALL,NEG_E(0),mRNA,TRUE,Negative,,,,,,,,,,
ERCC_00126.1:220,ALL,NEG_F(0),mRNA,TRUE,Negative,,,,,,,,,,
ERCC_00096.1:230,ALL,NEG_A(0),mRNA,TRUE,Negative,,,,,,,,,,
ERCC_00076.1:355,ALL,NEG_D(0),mRNA,TRUE,Negative,,,,,,,,,,
ERCC_00144.1:15,ALL,NEG_G(0),mRNA,TRUE,Negative,,,,,,,,,,
ERCC_00019.1:140,ALL,NEG_C(0),mRNA,TRUE,Negative,,,,,,,,,,
ERCC_00092.1:540,ALL,POS_D(2),mRNA,TRUE,Positive,,,,,,,,,,
ERCC_00112.1:695,ALL,POS_B(32),mRNA,TRUE,Positive,,,,,,,,,,
ERCC_00002.1:850,ALL,POS_C(8),mRNA,TRUE,Positive,,,,,,,,,,
ERCC_00035.1:485,ALL,POS_E(0.5),mRNA,TRUE,Positive,,,,,,,,,,
ERCC_00034.1:195,ALL,POS_F(0.125),mRNA,TRUE,Positive,,,,,,,,,,
ERCC_00117.1:385,ALL,POS_A(128),mRNA,TRUE,Positive,,,,,,,,,,
NM_000153.2:725,NS_HS_GLIAL_V1.0,GALC,mRNA,FALSE,,,Primed Microglia;Myelogenesis,hsa00600;hsa04142,,GALC,,,,,
NM_000313.1:875,NS_HS_GLIAL_V1.0,PROS1,mRNA,FALSE,,,Complement System,hsa04610,,PROS1,,,,,
NM_000963.1:495,NS_HS_GLIAL_V1.0,PTGS2,mRNA,FALSE,,,Serotonergic Synapse;NO Metabolism and Signaling;NF-kappaB Signaling;Lipid Metabolism;Cannabinoid Signaling;A2 Astrocyte,hsa00590;hsa04064;hsa04370;hsa04668;hsa04723;hsa04726;hsa04913;hsa04921;hsa04923;hsa05140;hsa05200;hsa05206;hsa05222,,PTGS2,,,,,
NM_001184.2:565,NS_HS_GLIAL_V1.0,ATR,mRNA,FALSE,,,Cell Cycle,hsa04110;hsa04115;hsa05166,,ATR,,,,,
NM_001527.1:930,NS_HS_GLIAL_V1.0,HDAC2,mRNA,FALSE,,,Oligodendrocyte Differentiation/Maturation;Neurogenesis;Cell Cycle,hsa04110;hsa04213;hsa04919;hsa05016;hsa05034;hsa05169;hsa05200;hsa05202;hsa05203;hsa05220,,HDAC2,,,,,
NM_004120.3:780,NS_HS_GLIAL_V1.0,GBP2,mRNA,FALSE,,,Primed Microglia;Interferon Signaling;A1 Astrocyte,,,GBP2,,,,,
NM_012137.2:620,NS_HS_GLIAL_V1.0,DDAH1,mRNA,FALSE,,,NO Metabolism and Signaling,,,DDAH1,,,,,
NM_012328.1:380,NS_HS_GLIAL_V1.0,DNAJB9,mRNA,FALSE,,,Proteotoxic Stress,,,DNAJB9,,,,,
NM_013332.1:345,NS_HS_GLIAL_V1.0,HILPDA,mRNA,FALSE,,,Astrocyte Markers,,,HILPDA,,,,,
NM_014868.3:1910,NS_HS_GLIAL_V1.0,RNF10,mRNA,FALSE,,,Neurogenesis;Myelogenesis,,,RNF10,,,,,
NM_181504.2:1105,NS_HS_GLIAL_V1.0,PIK3R1,mRNA,FALSE,,,MAPK & PI3K,hsa04012;hsa04014;hsa04015;hsa04022;hsa04024;hsa04062;hsa04066;hsa04068;hsa04070;hsa04071;hsa04072;hsa04150;hsa04151;hsa04152;hsa04210;hsa04211;hsa04213;hsa04261;hsa04370;hsa04380;hsa04510;hsa04550;hsa04611;hsa04620;hsa04630;hsa04650;hsa04660;hsa04662;hsa04664;hsa04666;hsa04668;hsa04670;hsa04722;hsa04725;hsa04750;hsa04810;hsa04910;hsa04914;hsa04915;hsa04917;hsa04919;hsa04921;hsa04923;hsa04930;hsa04931;hsa04932;hsa04933;hsa04960;hsa04973;hsa05100;hsa05142;hsa05145;hsa05146;hsa05160;hsa05161;hsa05162;hsa05164;hsa05166;hsa05169;hsa05200;hsa05203;hsa05205;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05220;hsa05221;hsa05222;hsa05223;hsa05230;hsa05231,,PIK3R1,,,,,
NM_198402.2:510,NS_HS_GLIAL_V1.0,HACD2,mRNA,FALSE,,,Lipid Metabolism,,,HACD2,,,,,
NM_138444.2:450,NS_HS_GLIAL_V1.0,KCTD12,mRNA,FALSE,,,GABAergic Synapse,,,KCTD12,,,,,
NM_015136.2:95,NS_HS_GLIAL_V1.0,STAB1,mRNA,FALSE,,,Phagocytosis,,,STAB1,,,,,
NM_000576.2:840,NS_HS_GLIAL_V1.0,IL1B,mRNA,FALSE,,,Primed Microglia;NO Metabolism and Signaling;NF-kappaB Signaling;Neurogenesis;Microglia Neurodegenerative Phenotype (MGnD);Cytokines;Astrocyte Differentiation/Function,hsa04010;hsa04060;hsa04064;hsa04210;hsa04380;hsa04620;hsa04621;hsa04623;hsa04640;hsa04668;hsa04750;hsa04932;hsa04933;hsa04940;hsa05010;hsa05020;hsa05132;hsa05133;hsa05134;hsa05140;hsa05142;hsa05143;hsa05144;hsa05146;hsa05152;hsa05162;hsa05164;hsa05168;hsa05321;hsa05323;hsa05332,,IL1B,,,,,
NM_006988.3:2840,NS_HS_GLIAL_V1.0,ADAMTS1,mRNA,FALSE,,,Microglial Markers,,,ADAMTS1,,,,,
NM_001142627.1:768,NS_HS_GLIAL_V1.0,SEC61A2,mRNA,FALSE,,,Proteotoxic Stress;Antigen Processing and Presentation,hsa04141;hsa04145;hsa05110,,SEC61A2,,,,,
NM_000021.2:900,NS_HS_GLIAL_V1.0,PSEN1,mRNA,FALSE,,,Wnt Signaling;Neurotrophin Signaling;Neurogenesis;Astrocyte Differentiation/Function,hsa04310;hsa04722;hsa05010,,PSEN1,,,,,
NM_000514.2:580,NS_HS_GLIAL_V1.0,GDNF,mRNA,FALSE,,,Neurogenesis;Cytokines,,,GDNF,,,,,
NM_000572.2:230,NS_HS_GLIAL_V1.0,IL10,mRNA,FALSE,,,T-cell signaling;NO Metabolism and Signaling;Cytokines,hsa04060;hsa04068;hsa04630;hsa04660;hsa04672;hsa05133;hsa05140;hsa05142;hsa05143;hsa05144;hsa05145;hsa05146;hsa05150;hsa05152;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05330,,IL10,,,,,
NM_000575.3:1085,NS_HS_GLIAL_V1.0,IL1A,mRNA,FALSE,,,Cytokines;A1 Astrocyte,hsa04010;hsa04060;hsa04210;hsa04380;hsa04640;hsa04932;hsa04933;hsa04940;hsa05020;hsa05132;hsa05133;hsa05140;hsa05152;hsa05162;hsa05164;hsa05321;hsa05323;hsa05332,,IL1A,,,,,
NM_000582.2:760,NS_HS_GLIAL_V1.0,SPP1,mRNA,FALSE,,,Primed Microglia;Neurogenesis;Microglia Neurodegenerative Phenotype (MGnD),hsa04151;hsa04510;hsa04620,,SPP1,,,,,
NM_000674.1:1150,NS_HS_GLIAL_V1.0,ADORA1,mRNA,FALSE,,,Purinergic Signaling;Neuroactive Ligands and Receptors,hsa04022;hsa04024;hsa04071;hsa04080;hsa04923;hsa04924;hsa05032,,ADORA1,,,,,
NM_002462.2:1485,NS_HS_GLIAL_V1.0,MX1,mRNA,FALSE,,,Interferon Signaling,hsa05162;hsa05164,,MX1,,,,,
NM_002715.2:1075,NS_HS_GLIAL_V1.0,PPP2CA,mRNA,FALSE,,,TGF-Beta Signaling,hsa04071;hsa04114;hsa04151;hsa04152;hsa04261;hsa04350;hsa04390;hsa04530;hsa04728;hsa04730;hsa05142;hsa05160,,PPP2CA,,,,,
NM_002750.2:945,NS_HS_GLIAL_V1.0,MAPK8,mRNA,FALSE,,,MAPK & PI3K,hsa04010;hsa04012;hsa04014;hsa04024;hsa04068;hsa04071;hsa04141;hsa04310;hsa04380;hsa04510;hsa04620;hsa04621;hsa04622;hsa04664;hsa04668;hsa04722;hsa04723;hsa04728;hsa04750;hsa04910;hsa04912;hsa04914;hsa04917;hsa04920;hsa04930;hsa04931;hsa04932;hsa04933;hsa05120;hsa05131;hsa05132;hsa05133;hsa05142;hsa05145;hsa05152;hsa05160;hsa05161;hsa05164;hsa05166;hsa05168;hsa05169;hsa05200;hsa05210;hsa05212;hsa05231,,MAPK8,,,,,
NM_003591.2:1395,NS_HS_GLIAL_V1.0,CUL2,mRNA,FALSE,,,Hypoxia;Antigen Processing and Presentation,hsa04066;hsa04120;hsa05200;hsa05211,,CUL2,,,,,
NM_003766.2:810,NS_HS_GLIAL_V1.0,BECN1,mRNA,FALSE,,,Autophagy,hsa04140,,BECN1,,,,,
NM_004134.4:975,NS_HS_GLIAL_V1.0,HSPA9,mRNA,FALSE,,,Primed Microglia,hsa05152,,HSPA9,,,,,
